"disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02","app_id","app_date","GOOD","BAD"
1,"SO",16,0.644621212121212,"P",1.39,370,32.58,1.03,58.71,5,0.159999999999999,6,325.033333333333,0.0640122702,54.15625,1.27,0,1.80999999999972,"5",1.62,412,"19JUL2005","1","0"
0,"SO",19,0,"P",1.49,288,6,2,230,3,1,35,214.65,0.1862205504,61.15625,1,2,33,"3",1.02,403,"19JUL2005","0","1"
0,"SO",19,1.2,"R",1.02,488,9,1,14.0277777777778,11.02,1.02,18.17,96.7735714285714,0.2960278122,70.59375,1.03,0,0,"3",3.07,422,"19JUL2005","1","0"
0,"SO",18,0.85,"R",1.02,267,19.24,1.03,52.12,6.37,0.49,12.08,285.083333333333,0,54.42767578125,1.07,0,12.6799999999996,"5",2.41,402,"19JUL2005","1","0"
0,"SB",18,0,"P",1.02,268.25,28,1,59.865,17,0,17,337.393333333333,0.0124169822,69.515625,1.04,0,0,"3",2.19,420,"19JUL2005","1","0"
0,"SO",18,0.75,"P",1.09,555.875,10,1,3.57,24,0,47,150.388571428571,0,55.3359375,1.03,0,0,"3",4,406,"19JUL2005","1","0"
1,"SO",20,0.92,"R",1.01,392,16.09,1.03,25.66,7.38,1.32,11.54,242.276666666667,0,54.43166015625,1.03,0,8.21999999999961,"4",2.78,430,"19JUL2005","1","0"
0,"SO",21,1.04,"R",1.08,488.75,12,1,46.4066666666667,0,0.96,5,537.44,0.0023079388,21.265625,1.03,0,0,"3",2.83,389,"19JUL2005","1","0"
0,"SL",25,1.2,"P",1.07,886.25,26,1.29333333333333,51.92,8.79,3.77,2,383.54,0,45.6484375,1.02,0,6.20999999999977,"5",3.16,429,"19JUL2005","1","0"
10,"SF",19,0.77,"P",1.07,500,10,1,28.5,13,0,38,144.157238095238,0.381779423,64.03125,1.082,0,0,"3",3.41,418,"19JUL2005","1","0"
0,"SO",18,1,"P",1.12,153.5,28,1,50.4383333333333,7,0.11,8,255.843333333333,0.0190419333,48.09375,1,0,0,"3",0.625,427,"19JUL2005","0","1"
0,"SC",21,3,"P",1.24,300,15,2,35.18,2,2,11,309.52,0.0350777647,91.84375,1,1,0,"3",0.57,419,"19JUL2005","1","0"
1,"SB",23,1,"R",1.31,2100,23,1.47,113.13,7.37,4.42,13.24,843.2,0.598415086,13.0625,1.04,0,111.52,"5",1.77,409,"19JUL2005","1","0"
1,"SO",21,1.24,"P",1.09,501.625,19,1,22.245,5,2,8,227.65,0.0522158801,64.203125,1,0,45.11,"5",0,385,"19JUL2005","1","0"
1,"SO",23,0.82,"R",1.18,504.5,21.16,1.03,62.74,6.01,0.91,7.86,457.96,0.2728191791,58.6875,1,0,53.09,"5",0.49,405,"19JUL2005","0","1"
380,"SA",18,0,"P",1.15,3880,39.68,1.41,35.945,14.88,15,15,764.86,0.0643372955,50.8828125,1.07,0,30.2099999999999,"5",2.74,428,"19JUL2005","0","1"
